
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_5s_1s_0, 5, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. miv_rv32_priv_irq_2s_0_0, 3, 66, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. miv_rv32_irq_reg_0s, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. miv_rv32_irq_reg_0s_0, 1, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. miv_rv32_irq_reg_0s_1, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_exu_1s_1s_1s_1s_0s_0s_0s_1_0_1, 202, 1474, 395, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_gpr_ram_0s_0_0s_32s, 20, 40, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	. miv_rv32_gpr_ram_array_32s_6s_32s, 0, 3, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. miv_rv32_idecode_1_1s_1s_0s, 0, 1097, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_fetch_unit_32s_18446744071562067968_0s_3s_2s_3s_2s_2s_0s_1s_Z5, 220, 523, 32, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_ifu_iab_32s_2s_3s_2s_0s, 215, 307, 31, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_lsu_32s_2s_1s_2s_2s, 22, 182, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_subsys_ahb_initiator_32s_0s_8s_0_1_2_4s_5, 58, 139, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_rr_pri_arb_2s_1s_1s_1_0, 4, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_subsys_apb_initiator_32s_1s_1_0_1_2_3_4_5, 114, 169, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_rr_pri_arb_2s_1s_1s_1, 4, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_subsys_debug_1s, 664, 1085, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_debug_dtm_jtag_1s, 109, 206, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_debug_du, 379, 778, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_debug_sba, 166, 710, 40, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_debug_fifo_34s_1s_1s, 80, 45, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_debug_fifo_41s_1s_1s, 96, 56, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_subsys_interconnect_Z9, 53, 332, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. miv_rv32_buffer_11s_2s_1s_1s, 29, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_buffer_6s_2s_1s_1s, 15, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_rv32_subsys_regs_12s_0s_0s_0s_1_0s_50397384_7s_2s_1s, 9, 30, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. miv_rv32_buffer_7s_2s_1s_1s, 5, 9, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_0, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. miv_rv32_csr_gpr_state_reg_1s_1s_0s_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_rv32_subsys_mtime_irq_1s_1s_100s_1s_33603580_33570820, 176, 269, 145, 0, 0, 0, 0, 0, 0
.	. PFSOC_INIT_MONITOR_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PFSOC_INIT_MONITOR_C0_PFSOC_INIT_MONITOR_C0_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. PF_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PF_CCC_C0_PF_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. PF_SRAM_AHBL_AXI_C0, 38, 60, 0, 0, 0, 32, 0, 0, 0
.	.	. PF_SRAM_AHBL_AXI_C0_COREAHBLSRAM_PF_0_COREAHBLSRAM_PF_26s_65536s_0s_0s_0s_1s_16_32s_32s, 38, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PF_SRAM_AHBL_AXI_C0_COREAHBLSRAM_PF_0_CoreAHBLSRAM_AHBLSram_Z12, 38, 34, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_SRAM_AHBL_AXI_C0_PF_TPSRAM_AHB_AXI_0_PF_TPSRAM, 0, 26, 0, 0, 0, 32, 0, 0, 0
